AdultBodyMass,DietBreadth,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Subarid
1200,2,yes,yes,no,no,no,no,no,3,3,1,yes,24.25,3.5,56,40,61,arboreal,273.6,1
1443,2,yes,yes,no,no,no,no,no,3,3,1,yes,25.5,4.11,61,44,61,arboreal,450,1
1649.86,2,yes,yes,no,no,no,no,no,3,3,1,no,nan,3,nan,nan,nan,arboreal,nan,1
1065.5,2,yes,yes,no,no,no,no,no,3,2,1,yes,27.5,5,52.65,39.5,51,terrestrial,304.8,1
266,2,yes,yes,no,no,no,no,no,3,3,1,yes,20,3,41,32.5,21.5,arboreal,nan,1
287,2,yes,yes,no,no,no,no,no,3,2,1,yes,16.5,3,37.3,27.5,15.6,arboreal,70,1
366,3,yes,yes,no,no,no,no,yes,2,3,1,yes,22.75,3.75,46.25,33.15,34.8,arboreal,276,1
226,2,yes,yes,no,no,no,no,no,3,2,1,yes,24,3,37.7,29,15.5,arboreal,95,1
324,2,yes,yes,no,no,no,no,no,3,3,1,no,nan,3,46.9,32.2,28,terrestrial,nan,1
346,2,yes,yes,no,no,no,no,no,3,3,1,yes,27,2.5,45.35,32.85,29.13,terrestrial,268.08,1
118,2,yes,yes,no,no,no,no,no,3,2,1,yes,18.5,5.5,34,25.5,11.5,terrestrial,82.8,1
810,2,yes,yes,no,no,no,no,no,3,2,1,yes,23.75,4.25,50.9,35.8,34,arboreal,253.2,1
5445,1,no,yes,no,no,no,no,no,3,3,1,no,30,2,82.1,54.6,116,arboreal,nan,0
535,2,yes,yes,no,no,no,no,no,3,3,1,no,30,4.5,nan,nan,28.5,terrestrial,nan,1
1521,2,yes,yes,no,no,no,no,no,3,3,1,no,27,3,nan,nan,69,terrestrial,214.8,1
595,2,yes,yes,no,no,no,no,no,3,3,1,yes,21.25,3.5,nan,nan,38,arboreal,321.6,1
1493.18,2,yes,yes,no,no,no,no,no,3,3,1,no,28.5,2,nan,nan,62,arboreal,444,1
583,2,yes,yes,no,no,no,no,no,3,3,1,no,nan,2.5,62,42,nan,arboreal,nan,1
335,2,yes,yes,no,no,no,no,no,3,3,1,yes,41,1,nan,nan,45,terrestrial,nan,0
659,2,yes,yes,no,no,no,no,no,3,3,1,yes,44.5,1,67.3,48.1,87,terrestrial,392.4,1
197,2,yes,yes,no,no,no,no,no,3,3,1,no,nan,3.5,nan,nan,nan,aquatic,nan,1
183,2,yes,yes,no,no,no,no,no,3,3,1,no,46,6,nan,nan,13.7,aquatic,210,1
8130,2,yes,yes,no,no,no,no,no,3,nan,1,yes,78.5,1,130.8,81,463.85,<NA>,600,0
2550,2,yes,yes,no,no,no,no,no,3,3,1,yes,71,1,96.4,60.4,199.8,terrestrial,444,1
52,2,yes,yes,no,no,no,no,no,3,3,4,yes,39.5,1,36.5,27.25,14.75,<NA>,nan,1
30.45,3,yes,yes,no,no,no,no,yes,2,3,1,yes,43,1,33.3,23.4,9.9,terrestrial,nan,1
388,2,yes,yes,no,no,no,no,no,3,3,1,yes,55.5,1,61.4,41.1,60,terrestrial,nan,1
535,3,yes,yes,no,no,no,no,yes,2,2,1,yes,54,1,71.6,52.3,74,terrestrial,298,1
4400,2,yes,yes,no,no,no,no,no,3,nan,1,yes,59,1,105.9,65.7,241.5,<NA>,564,0
1286,2,yes,yes,no,no,no,no,no,3,nan,1,yes,60,1,82.9,53.7,124,<NA>,360,0
30,2,no,no,yes,no,yes,no,no,1,3,1,no,21.5,4,18.2,15.1,2.65,arboreal,nan,1
525,2,no,no,yes,no,yes,no,no,1,3,3,no,47,3,nan,nan,nan,arboreal,646.8,1
246,4,no,no,yes,yes,yes,yes,no,1,3,3,no,18,3.5,38.6,30.5,nan,arboreal,409.2,1
244,2,yes,no,no,no,yes,no,no,2,3,1,no,nan,3,45.05,32.6,14,terrestrial,nan,1
334,2,yes,yes,no,no,no,no,no,3,1,1,no,28,2.5,nan,nan,26.2,terrestrial,nan,1
407,2,yes,yes,no,no,no,no,no,3,1,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
231,2,yes,yes,no,no,no,no,no,3,1,3,no,nan,4,36,29.05,nan,arboreal,nan,1
101,2,yes,yes,no,no,no,no,no,3,1,3,no,nan,3.5,nan,nan,nan,arboreal,nan,1
424.65,2,yes,yes,no,no,no,no,no,3,1,3,no,32.25,7.5,39.7,31.6,20.7,arboreal,408,1
284,2,yes,yes,no,no,no,no,no,3,1,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
1396.5,2,yes,yes,no,no,no,no,no,3,3,1,no,28,4,nan,nan,36,arboreal,192,1
806,3,yes,yes,no,no,no,no,yes,2,3,1,no,45,1,64,44,66,arboreal,331.2,0
1362,3,yes,yes,no,no,no,no,yes,2,3,1,no,55.5,1,70,48.25,74,arboreal,516,1
545,2,yes,yes,no,no,no,no,no,3,3,1,no,24,4,nan,nan,23,arboreal,nan,1
